+-------+--------+-----------+-----------+------------+-----------+-----------+---------+-----------+---------+-----------+-------------------+-------------+----------------------+--------+------------+----+
| uid   | active | announced | completed | downloaded | remaining | uploaded  | upspeed | downspeed | corrupt | timespent | useragent         | connectable | peer_id              | fid    | mtime      | ip |
+-------+--------+-----------+-----------+------------+-----------+-----------+---------+-----------+---------+-----------+-------------------+-------------+----------------------+--------+------------+----+
| 10095 |      0 |         3 |         0 |  142234450 |         0 |         0 |       0 |         0 |       0 |      2656 | Transmission/2.84 |           1 | -TR2840-yq47dwj9ns4h |   7752 | 1510414750 |    |
| 10095 |      1 |       135 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    428314 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |     61 | 1510414477 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427905 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |    194 | 1510414067 |    |
| 10095 |      1 |       154 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427645 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |    208 | 1510413791 |    |
| 10095 |      1 |       134 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427631 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |    216 | 1510413779 |    |
| 10095 |      1 |       153 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    428809 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |    373 | 1510414965 |    |
| 10095 |      1 |       160 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    429514 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |    525 | 1510415674 |    |
| 10095 |      1 |       157 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427650 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |    611 | 1510413805 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    429575 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |    637 | 1510415732 |    |
| 10095 |      1 |       158 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427578 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |   1020 | 1510413739 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427873 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |   1033 | 1510414023 |    |
| 10095 |      1 |       154 |         0 |          0 |         0 |   2359296 |       0 |         0 |       0 |    427854 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |   1085 | 1510414002 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    428882 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |   1315 | 1510415044 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427322 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |   1845 | 1510413487 |    |
| 10095 |      1 |       158 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    429133 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |   2301 | 1510415281 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427145 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |   2585 | 1510413307 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427630 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |   2791 | 1510413787 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427532 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |   2873 | 1510413690 |    |
| 10095 |      1 |       158 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427318 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |   3057 | 1510413467 |    |
| 10095 |      1 |       158 |         0 |          0 |         0 |   1146880 |       0 |         0 |       0 |    427264 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |   3391 | 1510413424 |    |
| 10095 |      1 |       158 |         0 |          0 |         0 |    196608 |       0 |         0 |       0 |    427398 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |   4092 | 1510413560 |    |
